en,ja,es,ar,ko,pt,th,tr,fr,in,tl,ru,it,hi,de,zh,zh_t,nl,pl,ht,et,fa,ur,el,sv,ta,fi,da,ro,cs,eu,google_topic_id
habitat fragmentation,生息地の断片化,fragmentación del hábitat,تجزئة الموائل,서식지 세분화,fragmentação do habitat,ที่อยู่อาศัย fragmentation,habitat parçalanması,fragmentation de l'habitat,fragmentasi habitat,pagkapira-piraso ng tirahan,фрагментация мест обитания,frammentazione degli habitat,निवास स्थान विखंडन,Habitatfragmentierung,栖息地分裂,棲息地分裂,habitatfragmentatie,fragmentacja siedlisk,fwagmantasyon abita,elupaikade killustatus,تقسیم زیستگاه,رہائش کا ٹکڑا,κατακερματισμό οικοτόπων,fragmentering av livsmiljöer,வசிப்பிடம் உடைத்தல்,elinympäristön pirstaloituminen,fragmentering af levesteder,fragmentarea habitatului,fragmentace stanovišť,habitaten zatiketa,/m/04my2v
invasive species,侵略的種,especies invasivas,الأنواع الغازية,침입 종,espécies invasivas,แพร่กระจายพันธุ์,istilacı türler,espèces envahissantes,spesies invasif,nagsasalakay species,инвазивные виды,specie invasive,हमलावर नस्ल,invasive Arten,入侵物种,入侵物種,invasieve soorten,gatunki inwazyjne,espès anvayisan,invasiivsed liigid,گونه های مهاجم,ناگوار پرجاتیوں,επεμβατικά είδη,invasiva arter,ஆக்கிரமிக்கும் உயிரினம்,invasiivisia lajeja,invasive arter,specii invazive,invazivní druhy,espezie inbaditzaileak,/m/0hrk4
keystone species,キーストーン種,especie clave,الأنواع الرئيسية,종석 종,espécies-chave,สายพันธุ์หลัก,kilit taşı türleri,espèces clés,spesies batu kunci,keystone species,краеугольные камни,specie chiave,मूल तत्व जाति,Schlüsselarten,梯形物种,梯形物種,keystone soorten,gatunki trapezowe,espyon kle yo,nurgakivi liik,گونه های گیاهی,کیسٹون پرجاتیوں,βασικά είδη,keystone arter,கீஸ்டோன் இனங்கள்,keystone-lajit,keystone arter,cheie,klíčové druhy,giltzurrunetako espezie,/m/01hj0f
natural capital,自然資本,capital natural,العاصمه الطبيعيه,자연 자본,capital natural,ทุนทางธรรมชาติ,doğal sermaye,capital naturel,modal alam,likas na kabisera,природный капитал,capitale naturale,प्राकृतिक पूंजी,Naturkapital,自然资本,自然資本,natuurlijk kapitaal,kapitał naturalny,kapital natirèl,looduslik kapital,سرمایه طبیعی,قدرتی دارالحکومت,φυσικό κεφάλαιο,naturkapital,இயற்கை மூலதனம்,luonnollinen pääoma,naturkapital,capitalul natural,přírodního kapitálu,kapital naturala,/m/0cf3t
ocean acidification,海洋酸性化,Acidificación oceánica,تحمض المحيطات,해양 산성화,acidificação do oceano,การทำให้เป็นกรดในมหาสมุทร,okyanus asitlenmesi,acidification des océans,pengasaman laut,pag-aasido ng karagatan,подкисление океана,acidificazione dell'oceano,महासागर अम्लीकरण,Ozeanversauerung,海洋酸化,海洋酸化,oceaan verzuring,zakwaszenie oceanów,lanmè asidifikasyon,ookeani hapestumine,اسیدی شدن اقیانوس,سمندر کی تیزاب,οξίνιση των ωκεανών,ocean försurning,கடல் அமிலம்,meren happamoituminen,ocean forsuring,acidifierea oceanului,okyselení oceánů,ozeanoaren azidotzea,/m/083l7k
species diversity,種の多様性,diversidad de especies,تنوع الأنواع,종 다양성,diversidade de espécies,ความหลากหลายของชนิด,tür çeşitliliği,la diversité des espèces,keragaman spesies,pagkakaiba-iba ng species,видовое разнообразие,diversità delle specie,प्रजातीय विविधता,Artenvielfalt,物种多样性,物種多樣性,soortenverscheidenheid,różnorodność gatunków,espès divèsite,liikide mitmekesisus,تنوع گونه ای,پرجاتیوں تنوع,ποικιλία ειδών,artens mångfald,இனங்கள் வேறுபாடு,lajien monimuotoisuutta,art mangfoldighed,diversitatea speciilor,druhovou rozmanitost,espezie aniztasuna,/m/03hft33
subspecies,亜種,subespecie,السلالة,아종,subespécies,ช่ำชอง,altcins,sous-espèce,subspesies,subspecies,подвид,sottospecie,उप-प्रजाति,Unterart,亚种,亞種,ondersoorten,podgatunki,subspecies,alamliik,زیر گونه,سبزیوں,υποείδη,underarter,கிளையினங்கள்,alalaji,underart,subspecie,poddruh,subespezie,/m/019dpj
sustainability,持続可能性,sostenibilidad,الاستدامة,지속 가능성,sustentabilidade,การพัฒนาอย่างยั่งยืน,Sürdürülebilirlik,durabilité,keberlanjutan,Pagpapanatili,устойчивость,sostenibilità,स्थिरता,Nachhaltigkeit,可持续性,可持續性,duurzaamheid,zrównoważony rozwój,dirabilite,jätkusuutlikkus,پایداری,استحکام,βιωσιμότητα,hållbarhet,பேண்தகைமை,kestävyys,bæredygtighed,durabilitate,udržitelnost,iraunkortasun,/m/0hkst
wildlife trade,野生動物取引,comercio de vida silvestre,تجارة الحياة البرية,야생 동물 거래,comércio de animais selvagens,การค้าสัตว์ป่า,yaban hayatı ticareti,commerce d'espèces sauvages,perdagangan satwa liar,kalakalan ng hayop,торговля дикой природой,commercio della fauna selvatica,वन्यजीव व्यापार,Wildtierhandel,野生动物贸易,野生動物貿易,dierenhandel,handel dziką przyrodą,bèt sovaj komès,elusloodusega kauplemine,تجارت حیوانات خانگی,جنگلی زندگی کی تجارت,εμπόριο άγριων ζώων,djurliv handel,வன வர்த்தக வர்த்தகம்,villieläinten kauppa,dyreliv handel,comerțul cu animale sălbatice,obchod s volně žijícími zvířaty,fauna merkataritza,/m/02pxwgl
climate change,気候変動,cambio climático,تغير المناخ,기후 변화,das Alterações Climáticas,อากาศเปลี่ยนแปลง,iklim değişikliği,changement climatique,perubahan iklim,pagbabago ng klima,изменение климата,cambiamento climatico,जलवायु परिवर्तन,Klimawechsel,气候变化,氣候變化,klimaatverandering,zmiana klimatu,chanjman klimatik,kliimamuutus,تغییر آب و هوا,موسمیاتی تبدیلی,κλιματική αλλαγή,klimatförändring,பருவநிலை மாற்றம்,ilmastonmuutos,klima forandring,schimbarea climei,klimatická změna,aldaketa klimatikoa,/m/0cs9q
protected area,保護区域,área protegida,منطقة محمية,보호 지역,área protegida,พื้นที่คุ้มครอง,korunmuş bölge,zone protégée,kawasan lindung,protektadong lugar,защищенная область,area protetta,संरक्षित क्षेत्र,geschützter Bereich,保护区,保護區,beschermd gebied,Strefa chroniona,pwoteje zòn nan,kaitseala,منطقه حفاظت شده,محفوظ علاقے,προστατευόμενη περιοχή,skyddade området,பாதுகாக்கப்பட்ட பகுதி,suojelualueella,beskyttet område,zonă protejată,chráněné oblasti,babestutako eremua,/m/0pky_
ecosystem service,生態系サービス,servicio de ecosistemas,خدمة النظام الإيكولوجي,생태계 서비스,serviço ecossistêmico,บริการระบบนิเวศ,ekosistem hizmeti,service de l'écosystème,layanan ekosistem,serbisyo sa ecosystem,экосистемный сервис,servizio ecosistemico,पारिस्थितिकी तंत्र सेवा,Ökosystemdienst,生态系统服务,生態系統服務,ecosysteem service,usługi ekosystemowe,sèvis ekosistèm,ökosüsteemi teenus,خدمات اکوسیستم,ماحولیاتی نظام,υπηρεσία οικοσυστήματος,ekosystemtjänst,சுற்றுச்சூழல் சேவை,ekosysteemipalvelu,økosystemtjeneste,servicii ecosistemice,ekosystémové služby,ekosistema zerbitzua,/m/061b87
